budget,popularity,revenue,runtime,title,vote_average,vote_count,,,,,,,,,,
250000000,155.790452,873260194,151,Batman v Superman: Dawn of Justice,5.7,7004,,,,,,,,,,
35000000,50.587541,120072577,150,The Pianist,8,1864,,,,,,,,,,
90000000,55.249434,171120329,150,Contact,7.2,1308,,,,,,,,,,
80341000,14.8375,127814609,150,Red Cliff,7.1,205,,,,,,,,,,
225000000,53.978602,419651413,150,The Chronicles of Narnia: Prince Caspian,6.3,1630,,,,,,,,,,
150000000,21.939663,836297228,150,Transformers: Revenge of the Fallen,6,3138,,,,,,,,,,
140000000,101.599427,268031828,150,Exodus: Gods and Kings,5.6,1921,,,,,,,,,,
14000000,26.967494,85000000,149,Das Boot,7.9,613,,,,,,,,,,
10500000,86.201184,68700000,149,2001: A Space Odyssey,7.9,2998,,,,,,,,,,
3500000,3.281509,12800000,149,The Nun's Story,7.4,46,,,,,,,,,,
40000000,25.219805,152266007,149,A Time to Kill,7,509,,,,,,,,,,
65000000,36.307296,275293450,149,Lincoln,6.7,1429,,,,,,,,,,
125000000,45.313197,767820459,149,The Da Vinci Code,6.5,2704,,,,,,,,,,
8000000,0.709143,20000000,149,Sweet Charity,6.5,15,,,,,,,,,,
14000000,4.898424,46495,149,Margaret,6.1,86,,,,,,,,,,
255000000,49.046956,89289910,149,The Lone Ranger,5.9,2311,,,,,,,,,,
160000000,167.58371,825532764,148,Inception,8.1,13752,,,,,,,,,,
15000000,43.644978,56255142,148,Into the Wild,7.8,3045,,,,,,,,,,
20000000,45.742217,11110975,148,Inherent Vice,6.5,833,,,,,,,,,,
245000000,107.376788,880674609,148,Spectre,6.3,4466,,,,,,,,,,
60000000,21.084542,66976317,148,The Messenger: The Story of Joan of Arc,6.2,367,,,,,,,,,,
28000000,61.76233,201634991,147,Straight Outta Compton,7.7,1355,,,,,,,,,,
15000000,31.60985,20117339,147,Mulholland Drive,7.6,1477,,,,,,,,,,
44000000,16.245068,165615285,147,Sleepers,7.3,715,,,,,,,,,,
250000000,198.372395,1153304495,147,Captain America: Civil War,7.1,7241,,,,,,,,,,
50000000,42.551902,132180323,147,Perfume: The Story of a Murderer,7.1,1165,,,,,,,,,,
48000000,25.170217,207515725,147,Traffic,6.9,562,,,,,,,,,,
130000000,38.068736,273339556,147,Bad Boys II,6.3,1564,,,,,,,,,,
25000000,42.191509,124272124,146,The Help,7.8,1910,,,,,,,,,,
130000000,76.310119,847423452,146,The Hunger Games: Catching Fire,7.4,6495,,,,,,,,,,
70000000,45.299089,130293714,146,Man on Fire,7.3,1553,,,,,,,,,,
3000000,6.734965,10400000,146,Elmer Gantry,7.3,41,,,,,,,,,,
50000000,20.825781,73956241,146,The Hurricane,7.2,396,,,,,,,,,,
66000000,29.505574,177584879,146,War Horse,7,992,,,,,,,,,,
100000000,34.035114,235926552,146,A.I. Artificial Intelligence,6.8,1974,,,,,,,,,,
75000000,20.199057,61458982,146,Funny People,5.7,390,,,,,,,,,,
100000000,18.325897,288347692,146,Sex and the City 2,5.4,426,,,,,,,,,,
25000000,63.654244,46836394,145,GoodFellas,8.2,3128,,,,,,,,,,
61000000,143.041543,369330363,145,Gone Girl,7.9,5862,,,,,,,,,,
12000000,14.719886,42345360,145,My Name Is Khan,7.7,232,,,,,,,,,,
6244087,14.970654,638641,145,The Wild Bunch,7.6,259,,,,,,,,,,
85000000,16.595874,162242962,145,Memoirs of a Geisha,7.3,652,,,,,,,,,,
21000000,13.906611,26193068,145,Black Book,7.2,277,,,,,,,,,,
102000000,65.948959,358372926,145,Minority Report,7.1,2608,,,,,,,,,,
94000000,12.516546,95311434,145,The Flowers of War,7.1,187,,,,,,,,,,
25,4.88794,13,145,Angela's Ashes,7,59,,,,,,,,,,
80000000,18.26121,34566746,145,Thirteen Days,6.9,189,,,,,,,,,,
75000000,60.442593,816969268,145,Independence Day,6.7,3260,,,,,,,,,,
14000000,25.949277,161001698,145,Born on the Fourth of July,6.7,395,,,,,,,,,,
12000000,5.759545,9622846,145,For Greater Glory - The True Story of Cristiada,6.4,35,,,,,,,,,,
11,3.375208,11,145,F.I.S.T.,6.4,29,,,,,,,,,,
24000000,6.009644,23321954,145,Alatriste,5.6,61,,,,,,,,,,
19000000,78.699993,44017374,144,The Shining,8.1,3757,,,,,,,,,,
150000000,88.935165,599045960,144,Casino Royale,7.3,3855,,,,,,,,,,
88000000,24.100863,108539911,144,Cinderella Man,7.3,616,,,,,,,,,,
92000000,44.455166,172989651,144,Black Hawk Down,7.2,1811,,,,,,,,,,
57000000,33.8473,152944660,144,The Devil's Advocate,7.2,1374,,,,,,,,,,
250000000,120.965743,956019788,144,The Hobbit: The Battle of the Five Armies,7.1,4760,,,,,,,,,,
50000000,42.526529,69411370,144,13 Hours: The Secret Soldiers of Benghazi,7,938,,,,,,,,,,
25485000,9.795985,29548291,144,Tora! Tora! Tora!,6.9,147,,,,,,,,,,
150000000,25.468493,709709780,144,Transformers,6.6,4040,,,,,,,,,,
130000000,44.490453,211643158,144,Kingdom of Heaven,6.6,1157,,,,,,,,,,
70000000,33.648404,300854823,144,Hook,6.6,1532,,,,,,,,,,
178000000,139.272042,543934787,144,X-Men: Apocalypse,6.4,4721,,,,,,,,,,
6000000,7.60445,20400000,144,Duel in the Sun,6.2,37,,,,,,,,,,
9600000,3.588529,4386236,144,The Lost City,6,24,,,,,,,,,,
17000000,9.349386,374743,144,Southland Tales,5.2,153,,,,,,,,,,
140000000,271.972889,655011224,143,Pirates of the Caribbean: The Curse of the Black Pearl,7.5,6985,,,,,,,,,,
90000000,57.739713,429632142,143,Cast Away,7.5,3218,,,,,,,,,,
220000000,144.448633,1519557910,143,The Avengers,7.4,11776,,,,,,,,,,
105000000,61.196071,351040419,143,The Great Gatsby,7.3,3769,,,,,,,,,,
100000000,52.792678,170877916,143,Blood Diamond,7.3,2281,,,,,,,,,,
70000000,18.927463,154648887,143,The Phantom of the Opera,7,438,,,,,,,,,,
200000000,93.004993,1108561013,143,Skyfall,6.9,7604,,,,,,,,,,
55000000,48.507081,300218018,143,Superman,6.9,1022,,,,,,,,,,
25000000,25.785925,135330182,143,Babel,6.9,1055,,,,,,,,,,
180000000,67.391328,748806957,143,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.7,2629,,,,6.5,52,,,,,
48000000,28.803729,390493908,143,Robin Hood: Prince of Thieves,6.6,909,,,,,,,,,,
225000000,99.398009,662845518,143,Man of Steel,6.5,6359,,,,,,,,,,
4000000,5.975604,6000000,143,Topaz,6.1,77,,,,,,,,,,
25000000,136.747729,28341469,142,The Shawshank Redemption,8.5,8205,,,,,,,,,,
55000000,138.133331,677945399,142,Forrest Gump,8.2,7927,,,,,,,,,,
12400000,32.523573,8371085,142,The Great Beauty,7.3,720,,,,,,,,,,
75000000,68.550698,691210692,142,The Hunger Games,6.9,9455,,,,,,,,,,
200000000,89.270217,705717432,142,The Amazing Spider-Man 2,6.5,4179,,,,,,,,,,
6500000,25.289665,81974493,142,On Her Majesty's Secret Service,6.5,456,,,,,,,,,,
120000000,43.987061,649398328,142,Star Wars: Episode II - Attack of the Clones,6.4,3992,,,,,,,,,,
130000000,79.679601,789804554,141,Harry Potter and the Prisoner of Azkaban,7.7,5877,,,,,,,,,,
52000000,73.944049,352114312,141,Catch Me If You Can,7.7,3795,,,,,,,,,,
108000000,167.93287,630161890,141,The Martian,7.6,7268,,,,,,,,,,
280000000,134.279229,1405403694,141,Avengers: Age of Ultron,7.3,6767,,,,,,,,,,
55000000,27.50916,113020255,141,Changeling,7.3,1131,,,,,,,,,,
50000000,42.472324,83719388,141,The Judge,7.2,1417,,,,,,,,,,
40000000,48.445978,165478348,141,Bridge of Spies,7.2,2583,,,,,,,,,,
19000000,24.47248,68673228,141,Letters from Iwo Jima,7.2,541,,,,,,,,,,
115000000,38.729418,378882411,141,True Lies,6.8,1116,,,,,,,,,,
87000000,14.824166,148336445,141,Seabiscuit,6.7,216,,,,,,,,,,
35000000,15.50957,27330000,141,Mandela: Long Walk to Freedom,6.5,224,,,,,,,,,,
62000000,18.832471,215887717,141,Clear and Present Danger,6.4,386,,,,,,,,,,
45000000,17.923254,195268056,141,The Pelican Brief,6.3,371,,,,,,,,,,
23000000,6.618149,16123851,141,Vanity Fair,5.5,73,,,,,,,,,,
25000000,51.915025,23057115,140,Warrior,7.7,1272,,,,,,,,,,
12800000,22.022228,40031879,140,Dancer in the Dark,7.6,377,,,,,,,,,,
150000000,115.040024,374218673,140,Batman Begins,7.5,7359,,,,,,,,,,
52000000,68.140214,355237933,140,Apollo 13,7.3,1599,,,,,,,,,,
113000000,44.108427,850000000,140,Star Wars: Episode III - Revenge of the Sith,7.1,4116,,,,,,,,,,
50000000,28.725621,44547681,140,The Negotiator,6.8,582,,,,,,,,,,
15000000,35.395129,35485608,140,The Place Beyond the Pines,6.8,1653,,,,,,,,,,
38000000,10.794175,34416893,140,The Doors,6.7,275,,,,,,,,,,
80000000,33.691694,214104620,140,Public Enemies,6.5,1344,,,,,,,,,,
46000000,0.146783,5200000,140,Inchon,6.5,2,,,,,,,,,,
10000000,3.007816,5164404,140,The House of Mirth,6.4,25,,,,,,,,,,
60000000,13.155999,17800000,140,Flyboys,6.3,271,,,,,,,,,,
200000000,37.668301,310669540,140,Robin Hood,6.2,1398,,,,,,,,,,
63000000,146.757391,100853753,139,Fight Club,8.3,9413,,,,,,,,,,
6000000,59.961523,102272727,139,Mary Poppins,7.4,1183,,,,,,,,,,
3000000,10.757539,2807390,139,Happiness,7.4,194,,,,,,,,,,
40000000,41.570047,120175290,139,Apocalypto,7.3,1221,,,,,,,,,,
50000000,37.885022,314178011,139,As Good as It Gets,7.2,915,,,,,,,,,,
70000000,24.961625,90000098,139,The Abyss,7.1,808,,,,,,,,,,
40000000,31.385257,128798265,139,The Talented Mr. Ripley,7,767,,,,,,,,,,
34000000,9.133747,32255440,139,The Age of Innocence,7,169,,,,,,,,,,
22000000,19.068175,68296293,139,Open Range,7,262,,,,,,,,,,
85000000,80.316463,288747895,139,Divergent,6.9,4663,,,,,,,,,,
14200000,7.05145,674918,139,Manderlay,6.9,78,,,,,,,,,,
50000000,27.039636,273552592,139,Jerry Maguire,6.7,913,,,,,,,,,,
50000000,21.589393,25035950,139,Free State of Jones,6.6,428,,,,,,,,,,
32000000,43.862456,54674226,139,The Tree of Life,6.5,987,,,,Released,Vengeance Knows No Mercy,The Protector,6.8,167,,
28000000,10.703456,31596911,139,Rob Roy,6.5,148,,,,,,,,,,
23000000,7.876883,5837674,139,Bodyguards and Assassins,6.5,57,,,,,,,,,,
45000000,5.361699,4607608,139,Love in the Time of Cholera,6.4,81,,,,,,,,,,
5000000,4.079111,15000000,139,The Egyptian,6,11,,,,,,,,,,
258000000,115.699814,890871626,139,Spider-Man 3,5.9,3576,,,,,,,,,,
125000000,46.115758,362637473,139,Noah,5.6,2350,,,,,,,,,,
5000000,0.835617,12200000,139,Solomon and Sheba,5.4,8,,,,,,,,,,
14000000,0.900442,2474000,139,Jefferson in Paris,5.2,10,,,,,,,,,,
80000000,81.914696,294804195,138,Shutter Island,7.8,6336,,,,,,,,,,
35000000,24.860326,126216940,138,L.A. Confidential,7.7,1310,,,,,,,,,,
25000000,31.242999,156822020,138,Mystic River,7.6,1422,,,,,,,,,,
150000000,78.144395,938212738,138,Harry Potter and the Order of the Phoenix,7.4,5494,,,,,,,,,,
40000000,40.379966,243240178,138,A Few Good Men,7.1,877,,,,,,,,,,
150000000,36.973031,212011111,138,Master and Commander: The Far Side of the World,6.9,790,,,,,,,,,,
80000000,46.075037,245676146,138,Face/Off,6.8,1583,,,,,,,,,,
40000000,49.664128,251171807,138,American Hustle,6.8,2807,,,,,,,,,,
150000000,70.78591,738599701,138,The Matrix Reloaded,6.7,3443,,,,,,,,,,
75000000,19.708731,114660784,138,We Were Soldiers,6.7,521,,,,,,,,,,
38000000,5.516207,635096,138,Ride with the Devil,6.6,49,,,,,,,,,,
150000000,67.447636,356613439,138,Angels & Demons,6.5,2129,,,,,,,,,,
31000000,42.213765,161772375,138,Flight,6.5,2415,,,,,,,,,,
100000000,15.625949,35168966,138,K-19: The Widowmaker,6.1,264,,,,,,,,,,
22000000,9.175762,67800064,138,Son of God,5.9,83,,,,,,,,,,
137000000,34.981698,245360480,138,Hulk,5.3,1533,,,,,,,,,,
2000000,34.938177,70000000,137,The Lives of Others,7.9,958,,,,,,,,,,
100000000,101.74155,520000000,137,Terminator 2: Judgment Day,7.7,4185,,,,,,,,,,
18500000,67.66094,183316455,137,Aliens,7.7,3220,,,,,,,,,,
190000000,102.322217,1506249360,137,Furious 7,7.3,4176,,,,,,,,,,
65000000,43.055253,163442937,137,Unbroken,7.3,1400,,,,,,,,,,
24000000,16.146572,41895491,137,The Fisher King,7.2,341,,,,,,,,,,
32000000,25.682509,28258060,137,The Master,7,701,,,,,,,,,,
19800000,11.693272,87754044,137,Gosford Park,6.8,246,,,,,,,,,,
160000000,127.284427,653428261,137,The Hunger Games: Mockingjay - Part 2,6.6,3984,,,,,,,,,,
40000000,25.876582,30925690,137,Dune,6.5,562,,,,,,,,,,
50000000,40.371098,3324330,137,Child 44,6.1,547,,,,,,,,,,
35000000,28.069419,84606030,137,J. Edgar,6,741,,,,,,,,,,
145000000,10.660441,25819961,137,The Alamo,5.8,106,,,,,,,,,,
25000000,14.613152,8784318,137,On the Road,5.5,301,,,,,,,,,,
63000000,104.309993,463517383,136,The Matrix,7.9,8907,,,,,,,,,,
170000000,72.225265,714766572,136,Captain America: The Winter Soldier,7.6,5764,,,,,,,,,,
30000000,50.622607,152159461,136,Kill Bill: Vol. 2,7.6,3948,,,,,,,,,,
3200000,26.180367,33395426,136,Rosemary's Baby,7.5,863,,,,273,,,,,,
30000000,23.234651,76669806,136,Coach Carter,7.3,496,,,,,,,,,,
28000000,35.580032,186438883,136,Walk the Line,7.3,718,,,,,,,,,,
2900000,3.370225,5000000,136,Pocketful of Miracles,7.3,25,,,,,,,,,,
16500000,20.898711,135000000,136,Sense and Sensibility,7.2,352,,,,,,,,,,
70000000,16.92991,131457682,136,Seven Years in Tibet,7,630,,,,,,,,,,
43000000,19.043286,80049764,136,Finding Forrester,7,302,,,,,,,,,,
7400000,36.173598,21817298,136,Melancholia,7,885,,,,,,,,,,
75000000,51.469576,335062621,136,The Rock,6.9,1456,,,,,,,,,,
26000000,11.942862,14821658,136,Little Children,6.9,240,,,,,,,,,,
85000000,44.967453,194168700,136,The Holiday,6.7,1225,,,,,,,,,,
25000000,10.232599,21567853,136,He Got Game,6.7,134,,,,,,,,,,
65000000,29.257137,93525586,136,The Lovely Bones,6.6,1065,,,,,,,,,,
215000000,89.866276,752215857,136,The Amazing Spider-Man,6.5,6586,,,,,,,,,,
126000000,37.68056,162949164,136,The Island,6.5,1770,,,,Silmido,6.6,28,,,,
